subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Friedrich Bollensen	student_of	Heinrich Ewald	Sanskrit			True	Windisch GSP	wurde von Ewald in das Sanskrit eingeführt
Friedrich Haag	student_of	Heinrich Schweizer-Sidler			1869	True	Windisch GSP	Er widmete sie seinem Lehrer, dem Zürcher Sprachforscher Schweizer-Sidler
Friedrich Heinrich Hugo Windischmann	student_of	Christian Lassen				True	Windisch GSP	Auch der Schrift seines Schülers Fr. Windischmann "Sancara sive de Theologumenis Vedanticorum" gedenkt er wiederholt.
Friedrich Max Müller	student_of	Anton Westermann				True	Windisch GSP	studierte dann an der dortigen Universität klassische Philologie bei Gottfried Hermann, Haupt, Westermann, Klotz.
Friedrich Max Müller	student_of	Christian Hermann Weisse				True	Windisch GSP	In der Philosophie fühlte er sich anfangs besonders zu dem Hegelschen Richtung angehörigen Hermann Weisse hingezogen
Friedrich Max Müller	student_of	Eugène Burnouf		1845		True	Windisch GSP; Winternitz GIL 1	In Paris wurde er, wie zwei Jahre später auch noch Max Müller, Schüler Burnoufs.
Friedrich Max Müller	student_of	Franz Bopp		1844		True	Windisch GSP	Um Bopp und Schelling zu hören, ging er im Jahre 1844 nach Berlin
Friedrich Max Müller	student_of	Friedrich Wilhelm Joseph Schelling		1844		True	Windisch GSP	Um Bopp und Schelling zu hören, ging er im Jahre 1844 nach Berlin
Friedrich Max Müller	student_of	Gottfried Hermann				True	Windisch GSP	studierte dann an der dortigen Universität klassische Philologie bei Gottfried Hermann, Haupt, Westermann, Klotz.
Friedrich Max Müller	student_of	Hermann Brockhaus		1841	1844	True	Windisch GSP	Unter Brockhaus' Schülern ragt hervor Max Müller, der in den Jahren 1843 und 1844 den ersten Unterricht im Sanskrit von Brockhaus empfangen hat
Friedrich Max Müller	student_of	Karl Friedrich August Nobbe				True	Windisch GSP	besuchte er die Nikolaischule in Leipzig unter Nobbe
Friedrich Max Müller	student_of	Moritz Wilhelm Drobisch				True	Windisch GSP	in der von Drobisch vorgetragenen Herbartschen Philosophie, aus der M. Müller die Analyse der Begriffe, die begriffliche Erkenntnis herausgriff.
Friedrich Max Müller	student_of	Moriz Haupt				True	Windisch GSP	studierte dann an der dortigen Universität klassische Philologie bei Gottfried Hermann, Haupt, Westermann, Klotz.
Friedrich Max Müller	student_of	Reinhold Klotz				True	Windisch GSP	studierte dann an der dortigen Universität klassische Philologie bei Gottfried Hermann, Haupt, Westermann, Klotz.
Friedrich Rosen	student_of	Franz Bopp				True	Windisch GSP	Unter denen, die in jüngeren Jahren den Unterricht Bopps genossen haben, ragt hervor Friedrich Rosen.
Friedrich Rückert	student_of	Franz Bopp				True	Windisch GSP	Er selbst bezeichnet sich im Sanskrit als Schüler Bopps, obwohl er älter war als dieser, und erst später, als er Sanskrit schon recht gut verstand, in persönliche Beziehungen zu Bopp getreten ist.
Friedrich Schlegel	student_of	Alexander Hamilton		1803	1804	True	Windisch GSP; Winternitz GIL 1	Dieser gab Fr. Schlegel Unterricht im Sanskrit, nach einer Nachricht täglich drei Stunden lang.
Friedrich Schlegel	student_of	Antoine-Léonard de Chézy				True	Windisch GSP	Antoine Léonard de Chézy ... der doch schon der Lehrer Friedrich Schlegels gewesen ist
Friedrich von Spiegel	student_of	Hermann Brockhaus				True	Windisch GSP	Auch Spiegel und Sachau haben bei ihm gehört
Fritz Johaentgen	student_of	Christian Lassen				True	Windisch GSP	Johaentgen empfing die Anregung zu seiner Arbeit von seinem Lehrer Lassen
Fritz Johaentgen	student_of	Martin Haug				True	Windisch GSP	Als Schüler Haugs bezeichnet er in Bonn Johaentgen
Félix Nève	student_of	Christian Lassen				True	Windisch GSP	Seine Lehrer im Sanskrit waren Lassen in Bonn und Burnouf in Paris.
Félix Nève	student_of	Eugène Burnouf				True	Windisch GSP	Dem Werke Regniers war schon 1847 der »Essai sur le Mythe des Ṛbhavas« von Félix Nève, der im Veda gleichfalls ein Schüler Burnoufs war, vorausgegangen.
Gaspare Gorresio	student_of	Eugène Burnouf		1834		True	Windisch GSP	Im Jahre 1834 ging er nach Paris und hörte dort Burnouf "in pubblico ed in privato"
Georg Bühler	student_of	Theodor Benfey				True	Windisch GSP	Als Sanskrit-Philologe hat sich von seinen Schülern hervorgetan G. Bühler
Georg Curtius	student_of	Christian Lassen				True	Windisch GSP	In Bonn hörte er bei Ritschl und Lassen, der ihn in das Sanskrit einführte.
Georg Curtius	student_of	Franz Bopp				True	Windisch GSP	Geboren 1820, ein unmittelbarer Schüler Bopps, war er festgewurzelt in dessen Lehre
Georg Curtius	student_of	Friedrich Ritschl				True	Windisch GSP	In Bonn hörte er bei Ritschl und Lassen, der ihn in das Sanskrit einführte.
Georg Mahlow	student_of	Johannes Schmidt				True	Windisch GSP	Sein streitbarer Schüler Georg Mahlow hat die neuen Anschauungen auch für die langen Vokale durchgeführt
Georg Martin Dursch	student_of	Antoine-Léonard de Chézy				True	Windisch GSP	G. M. Dursch [...] nennt sich selbst in der Widmung einen Schüler de Chézys.
Georg Morgenstierne	student_of	Sten Konow				True	Winternitz GIL 3	Wie er mir brieflich mitteilt, hält er dies durch eine im Druck befindliche Arbeit seines Schülers G. Morgenstierne für erwiesen.
George Thibaut	student_of	Albrecht Weber		1867	1867	True	Windisch GSP	Die Schüler Webers [...] 1867 Thibaut
Giuseppe Bardelli	student_of	Eugène Burnouf				True	Windisch GSP	Hier sollte er nicht nur bei Burnouf hören
Giuseppe Bardelli	student_of	Giuseppe Mezzofanti				True	Windisch GSP	schickte ihn dann nach Rom, wo er unter der Direktion des Kardinals Mezzofanti Sanskrit lernen sollte.
Giuseppe Bardelli	student_of	Stanislas Julien				True	Windisch GSP	sondern von Stanislas Julien auch Chinesisch lernen.
Gottlieb Siegfried Bayer	student_of	Christoph Theodosius Walther				True	Windisch GSP	Seine Kenntnis vom Sanskrit, von indischer Sprache und Literatur erhielt er von einigen dänischen Missionarien in Tranquebar, unter denen Christoph Theodosius Walther der bedeutendste war.
Heinrich Hübschmann	student_of	Martin Haug				True	Windisch GSP	Als Schüler Haugs bezeichnet er [...] in München West, Ayuso, Hübschmann, Jolly.
Heinrich Schweizer-Sidler	student_of	Bernhard Hirzel				True	Windisch GSP	Schweizer-Sidler, dem wir in Kuhns Zeitschrift oft begegnen, und der seinerseits im Sanskrit ein Schüler Hirzels, des Übersetzers der Śakuntalā, war.
Heinrich Uhle	student_of	Hermann Brockhaus				True	Windisch GSP	Handschriften der Vetālapañcaviṃśati, die er seinen Schülern Uhle und dem Schreiber dieser Zeilen übergab.
Heinrich Wenzel	student_of	Friedrich Max Müller				True	Windisch GSP	Seine besondere Studienrichtung erhielt er durch Max Müller in Oxford, zu dem er sich nach kurzem Aufenthalt in Straßburg mit einer Empfehlung von Noiré begab.
Heinrich Wenzel	student_of	Heinrich August Jäschke		1881	1883	True	Windisch GSP	Auf M. Müllers Rat ging er 1881 zu dem Missionar H. Jäschke nach Herrnhut und widmete sich dort zwei Jahre lang dem Studium des Tibetischen.
Heinrich Zimmer	student_of	Albrecht Weber				True	Windisch GSP	In der Widmung seines Buches nennt er diese beiden und Weber seine verehrten Lehrer.
Heinrich Zimmer	student_of	Ernst Windisch	keltologische Studien			True	Windisch GSP	wendete sich aber bald keltologischen Studien zu, in die er zuerst von Windisch eingeführt worden war.
Heinrich Zimmer	student_of	Rudolf von Roth	Sanskrit	1870	1879	True	Windisch GSP	was durch seine Schüler ausgeführt worden ist. Seine Blütezeit als akademischer Lehrer fiel in die 70er Jahre des 19. Jahrhunderts, in denen ... H. Zimmer, geb. 1851 ... um Roths willen Tübingen aufgesucht haben.
Heinrich Zimmer	student_of	Siegfried Goldschmidt	Sanskrit			True	Windisch GSP	war im Sanskrit ein Schüler Goldschmidts in Straßburg
Heinrich Zimmer	student_of	Wilhelm Scherer	Germanistik			True	Windisch GSP	war in der Germanistik ein Schüler Scherers
Hellmuth von Glasenapp	student_of	Hermann Jacobi				True	Windisch GSP	Hellmuth von Glasenapp, einem Schüler Jacobis
Hendrik Kern	student_of	Albrecht Weber		1855	1856	True	Windisch GSP	Kern, "einem tüchtigen Schüler Webers"
Henri Gaidoz	student_of	Albrecht Weber		1865	1865	True	Windisch GSP	Die Schüler Webers [...] 1865 Eggeling und Gaidoz
Hermann Brunnhofer	student_of	Albrecht Weber				True	Windisch GSP	Hermann Brunnhofer, geboren 1841 zu Aarau, gestorben 1917 in München, war im Sanskrit ein Schüler Webers.
Hermann Collitz	student_of	Theodor Benfey				True	Windisch GSP	Die in Benfey ihren Guru verehrende Göttinger Schule umfaßt vorwiegend Sprachforscher, von denen die meisten ihre Stärke im Griechischen, lateinischen oder Germanischen hatten, Leo Meyer, Fick, Collitz
Hermann Ebel	student_of	August Friedrich Pott				True	Windisch GSP	Als Schüler Potts nennt er Ebel, Förstemann, Blau, Delbrück, Theophilus Hahn
Ivan Pavlovich Minaev	student_of	Albrecht Weber		1863	1863	True	Windisch GSP	Schüler Webers [...] 1863 Minayeff
Jacob Wackernagel	student_of	Theodor Benfey				True	Windisch GSP	Seine Stärke als Sanskritgrammatiker ist auf seinen Schüler Wackernagel übergegangen.
Jean-Louis Burnouf	student_of	Antoine-Léonard de Chézy				True	Windisch GSP	Auch die beiden Burnouf sind von Chézy ausgegangen
Johannes Brune	student_of	Hermann Oldenberg			1909	True	Windisch GSP	Dissertation seines Schülers J. Brune "Zur Textkritik der dem Sāmaveda mit dem achten Maṇḍala des Ṛgveda gemeinsamen Stellen", Kiel 1909.
Johannes Gildemeister	student_of	Christian Lassen				True	Windisch GSP	wo für die semitischen Sprachen Ewald und Freitag, für das Sanskrit Lassen seine Lehrer waren.
Johannes Gildemeister	student_of	Georg Wilhelm Freytag				True	Windisch GSP	wo für die semitischen Sprachen Ewald und Freitag, für das Sanskrit Lassen seine Lehrer waren.
Johannes Gildemeister	student_of	Heinrich Ewald				True	Windisch GSP	wo für die semitischen Sprachen Ewald und Freitag, für das Sanskrit Lassen seine Lehrer waren.
Johannes Klatt	student_of	Albrecht Weber				True	Windisch GSP	Den Vṛddha-Cāṇakya gab J. Klatt heraus in seiner Dissertation... nachdem sein Lehrer Weber schon 1864... übersetzt hatte
Johannes Schmidt	student_of	Albrecht Weber		1865	1866	True	Windisch GSP	Die Schüler Webers [...] 1865 und 1866 Johannes Schmidt
Johannes Schmidt	student_of	August Schleicher				True	Windisch GSP	Hervorragende ältere Schüler von Schleicher waren August Leskien, geboren 1840, und Johannes Schmidt, geboren 1843.
John Avery	student_of	William Dwight Whitney				True	Windisch GSP	Auch von anderen Schülern Whitneys erschienen damals Arbeiten über die in der Literatur vorkommenden Formen. In demselben Band X finden sich S. 219-324 'Contributions to the History of Verb-Inflection in Sanskrit' von John Avery
John Peile	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
John Pickford	student_of	Monier Monier-Williams				True	Windisch GSP	Ein anderer Schüler von M. Williams, John Pickford, eine Zeitlang Professor in Madras
Josef Schick	student_of	Albrecht Weber				True	Windisch GSP	Deshalb nahm der sprachenkundige Münchner Anglizist J. Schick diese drei indischen Hauptgeschichten, die schon sein Lehrer Weber zusammengestellt hatte, in sein "Corpus Hamleticum" auf
Julius Eggeling	student_of	Adolf Friedrich Stenzler				True	Windisch GSP	Mehr oder weniger aus-schließlich dürfen als Stenzlers Schüler bezeichnet werden A. Weber, Kielhorn, Eggeling, Pischel, Hillebrandt.
Julius Eggeling	student_of	Albrecht Weber		1865	1865	True	Windisch GSP	Die Schüler Webers [...] 1865 Eggeling und Gaidoz
Julius Euting	student_of	Rudolf von Roth				True	Windisch GSP	als Schüler Roths Trumpp, Osiander, Siegfried (Professor des Sanskrit in Dublin), Whitney, Haug, Pertsch, Euting, Grill, Bruce, E. Kuhn, S. Goldschmidt, C. Giussani.
Julius Grill	student_of	Adalbert Kuhn				True	Windisch GSP	Von den Meistern "vergleichender indogermanischer Mythologie", bei denen er in die Schule gegangen, nennt er A. Kuhn mit Namen
Julius Grill	student_of	Rudolf von Roth				True	Windisch GSP	J. Grill, ein Schüler Roths im Sanskrit, übersetzte "Hundert Lieder des Atharva Veda"
Julius Jolly	student_of	Martin Haug				True	Windisch GSP	Als Schüler Haugs bezeichnet er [...] in München West, Ayuso, Hübschmann, Jolly.
Junjiro Takakusu	student_of	Moriz Winternitz				True	Winternitz GIL 2	meinem lieben Freunde und ehemaligen Schüler, Professor Jyun Takakusu in Tokio
József Budenz	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
Karl Brugmann	student_of	Georg Curtius				True	Windisch GSP	Von Curtius' zahlreichen Schülern trat Karl Brugmann, geboren 1849, zuerst im Bunde mit ihm auf
Karl Friedrich Geldner	student_of	Rudolf von Roth		1870	1879	True	Windisch GSP; Winternitz GIL 1	eine Kombination, die dann wieder Roths Schüler Haug, Geldner und Lindner fortgesetzt haben.
Kenjiu Kasawara	student_of	Friedrich Max Müller		1879		True	Windisch GSP	durch seinen japanischen Schüler Kasawara zugänglich wurde
Lallu Lal	student_of	John Borthwick Gilchrist		1806		True	Winternitz GIL 3	Das Werk wurde im Jahre 1806 unter der Leitung von John Gilchrist begonnen
Leo Meyer	student_of	Theodor Benfey				True	Windisch GSP	Die in Benfey ihren Guru verehrende Göttinger Schule umfaßt vorwiegend Sprachforscher, von denen die meisten ihre Stärke im Griechischen, lateinischen oder Germanischen hatten, Leo Meyer, Fick, Collitz
Leopold von Schroeder	student_of	Rudolf von Roth				True	Windisch GSP	die dann später von seinem Schüler L. v. Schroeder herausgegeben worden sind.
Louis Havet	student_of	Michel Bréal				True	Windisch GSP	An der École des Hautes Études, zu deren Direktoren er gehörte, waren Abel Bergaigne und der Linguist Louis Havet seine Schüler.
Louis Poley	student_of	Franz Bopp				True	Windisch GSP	empfiehlt Bopp diesem "un ancien élève", den besonders durch seine Upanischad-arbeiten bekannt gewordenen Louis Poley.
Ludwig Lange	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
Luigi Suali	student_of	Hermann Jacobi				True	Windisch GSP	Luigi Suali, Schüler Jacobis
Léon Feer	student_of	Philippe-Édouard Foucaux				True	Windisch GSP	Von Foucaux lernte es Léon Feer.
Martin Haug	student_of	Rudolf von Roth				True	Windisch GSP	eine Kombination, die dann wieder Roths Schüler Haug, Geldner und Lindner fortgesetzt haben.
Martin Haug	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
Matthias von Lexer	student_of	Albrecht Weber		1857	1858	True	Windisch GSP	Die Schüler Webers [...] 1857 und 1858 Lexer und Bréal
Max Lindenau	student_of	Ernst Windisch				True	Winternitz GIL 3	des Windisch-Schülers M. Lindenau
Michel Bréal	student_of	Albrecht Weber		1857	1858	True	Windisch GSP	Die Schüler Webers [...] 1857 und 1858 Lexer und Bréal
Moriz Winternitz	student_of	Georg Bühler				True	Windisch GSP	Bühlers Schüler Winternitz
Otto Blau	student_of	August Friedrich Pott				True	Windisch GSP	Als Schüler Potts nennt er Ebel, Förstemann, Blau, Delbrück, Theophilus Hahn
Otto Stein	student_of	Moriz Winternitz				True	Winternitz GIL 2	Meinem Schüler Dr. Otto Stein bin ich für die bei der Korrektur der zweiten Hälfte dieses Bandes und bei der Revision des Index geleistete Hilfe zu Dank verpflichtet.
Otto von Böhtlingk	student_of	Christian Lassen				True	Windisch GSP	Seine Ausgabe "Abhijñānaśakuntalam" ist "Dem geliebten Lehrer Herrn Christian Lassen" gewidmet.
Otto von Böhtlingk	student_of	Franz Bopp				True	Windisch GSP	Im Anfang ihrer Studien sind auch Stenzler (geb. 1807) und Böhtlingk (geb. 1815) bei Bopp in Berlin gewesen.
Peter von Bohlen	student_of	Franz Bopp				True	Windisch GSP	bekennt aber, Grammatik erst bei Bopp gelernt zu haben
Peter von Bohlen	student_of	Georg Wilhelm Freytag				True	Windisch GSP	Seine orientalischen Studien begann er mit dem Arabischen, bei G. W. Freytag in Bonn
Philippe-Édouard Foucaux	student_of	Eugène Burnouf				True	Windisch GSP	Aus einem längeren Briefe von Edouard Foucaux erfahren wir, daß dieser zunächst ein Schüler Burnoufs im Sanskrit war
Pietro Merlo	student_of	Giovanni Flechia				True	Windisch GSP	Schüler von ihm waren Antonio Marazzi, Übersetzer der Dramen des Kālidāsa, Domenico Pezzi, Pietro Merlo.
Ramkrishna Gopal Bhandarkar	student_of	Martin Haug				True	Windisch GSP	Als Schüler Haugs bezeichnet er [...] in Poona keinen Geringeren als Bhandarkar
Raymond West	student_of	Martin Haug				True	Windisch GSP	Als Schüler Haugs bezeichnet er [...] in München West, Ayuso, Hübschmann, Jolly.
Richard Fritzsche	student_of	Hermann Brockhaus				False	Windisch GSP	gehören noch zu seinen Schülern... eine Gruppe von sächsischen Gymnasiallehrern... Richard Fritzsche, geboren 1851, Rektor des Gymnasiums in Schneeberg
Richard Pischel	student_of	Adolf Friedrich Stenzler				True	Windisch GSP	Mehr oder weniger aus-schließlich dürfen als Stenzlers Schüler bezeichnet werden A. Weber, Kielhorn, Eggeling, Pischel, Hillebrandt.
Richard Pischel	student_of	Albrecht Weber				True	Windisch GSP	hatte aber auch bei Weber Vorlesungen gehört.
Richard Schmidt	student_of	Ernst Mehliß				False	Winternitz GIL 3	Ins Deutsche übersetzt von R. Schmidt in der »Festgabe ehemaliger Schüler zum 70. Geburtstag des Professors Ernst Mehliß in Eisleben« 1914
Richard von Garbe	student_of	Rudolf von Roth		1870	1879	True	Windisch GSP	Über Roths Leben und Persönlichkeit handelt eingehender sein Schüler und Nachfolger R. Garbe in der Allgemeinen Deutschen Biographie.
Robert Bruce	student_of	Rudolf von Roth				True	Windisch GSP	als Schüler Roths Trumpp, Osiander, Siegfried (Professor des Sanskrit in Dublin), Whitney, Haug, Pertsch, Euting, Grill, Bruce, E. Kuhn, S. Goldschmidt, C. Giussani.
Rudolf Thomas Siegfried	student_of	Albrecht Weber		1849	1849	True	Windisch GSP	Die Schüler Webers [...] 1849 Siegfried
Rudolf Thomas Siegfried	student_of	Rudolf von Roth				True	Windisch GSP	als Schüler Roths Trumpp, Osiander, Siegfried (Professor des Sanskrit in Dublin), Whitney, Haug, Pertsch, Euting, Grill, Bruce, E. Kuhn, S. Goldschmidt, C. Giussani.
Rudolf von Roth	student_of	Eugène Burnouf		1843		True	Windisch GSP; Winternitz GIL 1	In Paris wurde er, wie zwei Jahre später auch noch Max Müller, Schüler Burnoufs.
Rudolf von Roth	student_of	Heinrich Ewald				True	Windisch GSP	wurde durch Ewald für das Sanskrit gewonnen. Diesem, seinem verehrten Lehrer, stattet er im Vorwort zum Nirukta (1847) mit besonderer Wärme seinen Dank ab.
Siegfried Goldschmidt	student_of	Albrecht Weber		1864	1864	True	Windisch GSP	Die Schüler Webers [...] 1864 E. Kuhn und S. Goldschmidt
Siegfried Goldschmidt	student_of	Rudolf von Roth				True	Windisch GSP	als Schüler Roths Trumpp, Osiander, Siegfried (Professor des Sanskrit in Dublin), Whitney, Haug, Pertsch, Euting, Grill, Bruce, E. Kuhn, S. Goldschmidt, C. Giussani.
Sophus Bugge	student_of	Albrecht Weber		1858	1858	True	Windisch GSP	Die Schüler Webers [...] 1858 Bugge
Theodor Bloch	student_of	Ernst Windisch				True	Winternitz GIL 3	Th. Bloch, ein Schüler von Windisch
Theodor Goldstücker	student_of	Christian Lassen				True	Windisch GSP	ging von da nach Bonn zu Lassen.
Theodor Goldstücker	student_of	Eugène Burnouf				True	Windisch GSP	wird Th. Goldstücker "l'un des plus fidèles et des plus savants élèves d'Eugène Burnouf" genannt
Theodor Goldstücker	student_of	Karl Rosenkranz				True	Windisch GSP	mit einem Vorwort von seinem Lehrer, dem Königsberger Philosophen K. Rosenkranz
Theodor Goldstücker	student_of	Peter von Bohlen				True	Windisch GSP	machte auch dort seine ersten Sanskritstudien unter v. Bohlen
Theodor Nöldeke	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
Theophilus Hahn	student_of	August Friedrich Pott				True	Windisch GSP	Als Schüler Potts nennt er Ebel, Förstemann, Blau, Delbrück, Theophilus Hahn
Théodore Pavie	student_of	Eugène Burnouf				True	Windisch GSP	Ein anderer Schüler Burnoufs war Théodore Pavie, geboren 1811 zu Angers, gestorben ebenda 1896.
Walther Schubring	student_of	Ernst Leumann				True	Windisch GSP	Leumanns Schüler Walther Schubring (geb. 1881)
Wilhelm Deecke	student_of	Albrecht Weber				True	Windisch GSP	W. Deecke hat seines Lehrers Weber Werk ergänzt und modifiziert
Wilhelm Geiger	student_of	Friedrich von Spiegel				True	Windisch GSP	Aber wie so oft bei Lehrer und Schüler, spiegelt sich seine Kombination der Studien in seinem Schüler W. Geiger wieder
Wilhelm Pertsch	student_of	Albrecht Weber		1850	1850	True	Windisch GSP	Ein Schüler und Freund Webers war auch der Gothaer Bibliothekar Wilhelm Pertsch
Wilhelm Pertsch	student_of	Rudolf von Roth				True	Windisch GSP	als Schüler Roths Trumpp, Osiander, Siegfried (Professor des Sanskrit in Dublin), Whitney, Haug, Pertsch, Euting, Grill, Bruce, E. Kuhn, S. Goldschmidt, C. Giussani.
Wilhelm Storck	student_of	Albrecht Weber		1856	1857	True	Windisch GSP	Die Schüler Webers [...] 1856 und 1857 Storck
Wilhelm von Humboldt	student_of	Franz Bopp				True	Windisch GSP	Dieser, von Bopp schon in London in das Sanskrit eingeführt, war von der Wichtigkeit des Sanskrit durchdrungen
William Dwight Whitney	student_of	Albrecht Weber		1850	1851	True	Windisch GSP	Sehr bald trat er als gleichstehender Forscher neben seine Lehrer Weber und Roth
William Dwight Whitney	student_of	Edward Elbridge Salisbury				True	Windisch GSP	wo er in seiner Jugend Edward E. Salisbury, Professor des Arabischen und des Sanskrit, zum Lehrer des Sanskrit gehabt hatte
William Dwight Whitney	student_of	Rudolf von Roth				True	Windisch GSP	Sehr bald trat er als gleichstehender Forscher neben seine Lehrer Weber und Roth
Émile Senart	student_of	Theodor Benfey				True	Windisch GSP	als Schüler Benfeys Budenz, Bühler, Fick, Haug, Justi, L. Lange, Leo Meyer, Nöldeke, Peile (Cambridge), Senart (Paris)
Adolf Friedrich Stenzler	studied_at	Paris (unspecified)				True	Windisch GSP	Stenzler ging mit Empfehlungen von Bopp an Schlegel und Chézy ausgerüstet von Berlin nach Bonn und Paris
Adolf Friedrich Stenzler	studied_at	University of Berlin			1829	True	Windisch GSP	Er promovierte dort im Jahre 1829 mit der Dissertation "Brahma-Vaivarta-Puráni Specimen"
Adolf Friedrich Stenzler	studied_at	University of Bonn				True	Windisch GSP	Beide gingen bald von da nach Bonn.
Adolf Kaegi	studied_at	University of Tübingen		1870	1879	True	Windisch GSP	in denen K. Geldner, geb. 1852, R. Garbe, geb. 1857, B. Lindner, geb. 1853, H. Zimmer, geb. 1851, und der Schweizer A. Kaegi, geb. 1849, um Roths willen Tübingen aufgesucht haben.
Adoniram Judson Eaton	studied_at	University of Leipzig			1884	True	Windisch GSP	die 1884 erschienene Leipziger Dissertation "The Ātmanepada in Ṛgveda" von dem Amerikaner Adoniram Judson Eaton
Albrecht Weber	studied_at	University of Berlin		1842	1845	True	Windisch GSP	nur drei Jahre lang, 1842-1845, klassische und orientalische Philologie studiert hat, in Breslau, Bonn und Berlin.
Albrecht Weber	studied_at	University of Bonn		1842	1845	True	Windisch GSP	nur drei Jahre lang, 1842-1845, klassische und orientalische Philologie studiert hat, in Breslau, Bonn und Berlin.
Albrecht Weber	studied_at	University of Breslau		1842	1845	True	Windisch GSP	nur drei Jahre lang, 1842-1845, klassische und orientalische Philologie studiert hat, in Breslau, Bonn und Berlin.
Alexander von Staël-Holstein	studied_at	University of Halle			1900	True	Winternitz GIL 3	dessen zweiter Teil von A. v. Staël-Holstein (Diss., Halle a. S. 1900) herausgegeben und übersetzt ist.
Alfons Fürst	studied_at	University of Tübingen			1915	True	Winternitz GIL 3	A. Fürst, Der Sprachgebrauch der älteren Upaniṣads verglichen mit dem der früheren vedischen Perioden und dem des klassischen Sanskrit, Diss. (Tübingen), Göttingen 1915.
Alfred Ludwig	studied_at	University of Berlin		1855	1856	True	Windisch GSP	ging dann nach Berlin im Wintersemester 1855/56.
Alfred Ludwig	studied_at	University of Vienna		1852		True	Windisch GSP	Die Universität Wien bezog er 1852
Andrzej Gawroński	studied_at	University of Leipzig			1907	True	Winternitz GIL 3	A. Gawroński, Sprachliche Untersuchungen über das Mṛcchakaṭika und das Daśakumāracarita, Diss. Leipzig 1907
Angelo De Gubernatis	studied_at	University of Berlin		1862	1863	True	Windisch GSP	Eine größere Kenntnis des Sanskrit erwarb er sich 1862 bei Weber in Berlin.
Anton Eduard Wollheim da Fonseca	studied_at	University of Berlin			1831	True	Windisch GSP	die Berlin 1831 erschienene Dissertation von A. E. Wollheim "De nonnullis Padma-Purani Capitibus"
Arnold Hirzel	studied_at	University of Leipzig			1890	True	Windisch GSP	in seiner Leipziger Dissertation "Gleichnisse und Metaphern im Ṛgveda in culturhistorischer Hinsicht zusammengestellt...", Leipzig 1890
Arthur Amelung	studied_at	University of Halle			1868	True	Windisch GSP	Schon 1868 hatte er in Halle promoviert mit der Schrift "Prolegomena ad Ortnitum carmen theodiscum saeculi XIII".
August Friedrich Pott	studied_at	University of Göttingen				True	Windisch GSP	Pott war geboren 1802 zu Nettelrede im Hannoverschen, studierte in Göttingen und wurde 1833 Professor der allgemeinen Sprachwissenschaft in Halle
August Schleicher	studied_at	University of Bonn	allgemeine Sprachwissenschaft und klassische Philologie			True	Windisch GSP	Nach Bonn übergesiedelt studierte er neben allgemeiner Sprachwissenschaft unter Ritschl klassische Philologie.
August Schleicher	studied_at	University of Leipzig	Theologie			True	Windisch GSP	Er hatte in Leipzig und Tübingen zunächst Theologie studiert
August Schleicher	studied_at	University of Tübingen	Theologie und orientalische Studien			True	Windisch GSP	Er hatte in Leipzig und Tübingen zunächst Theologie studiert, wendete sich aber in Tübingen unter Ewald orientalischen Studien zu.
August Wilhelm von Schlegel	studied_at	Paris (unspecified)		1814		True	Winternitz GIL 1	hatte auch er in Paris — und zwar im Jahre 1814 — seine Sanskritstudien begonnen.
August Wilhelm von Schlegel	studied_at	University of Göttingen				True	Windisch GSP	Er hatte in Göttingen studiert
Bernhard Hirzel	studied_at	University of Göttingen				True	Windisch GSP	Er erwähnt dort, daß er in Göttingen mit einer Arbeit über den Śrutabodha "doctorirt" habe.
Bruno Lindner	studied_at	University of Tübingen		1870	1879	True	Windisch GSP	in denen K. Geldner, geb. 1852, R. Garbe, geb. 1857, B. Lindner, geb. 1853, H. Zimmer, geb. 1851, und der Schweizer A. Kaegi, geb. 1849, um Roths willen Tübingen aufgesucht haben.
Bunyiu Nanjio	studied_at	University of Oxford		1879		True	Windisch GSP	die buddhistischen Priester Bunyiu Nanjio und Kenjiu Kasawara veranlaßt worden, die 1879 nach Oxford gekommen waren, um Sanskrit zu studieren.
Carl Cappeller	studied_at	University of Berlin		1860	1864	True	Windisch GSP	Er studierte 1860-1864 in Berlin zuerst klassische Philologie, dann Sanskrit bei Bopp und Weber.
Carl Cappeller	studied_at	University of Königsberg			1868	True	Winternitz GIL 3	C. Cappeller, Observationes ad Kālidāsae Mālavikāgnimitram, Diss., Regimonti 1868
